assets/img_1000.jpeg,white,happy,Woman,32
Filename,Race,Emotion,Gender,Age
assets/img_1.jpeg,asian,happy,Man,25
assets/img_2.jpeg,white,sad,Woman,31
assets/img_3.jpeg,latino hispanic,sad,Man,49
assets/img_4.jpeg,white,neutral,Woman,18
assets/img_5.jpeg,white,happy,Woman,27
assets/img_6.jpeg,latino hispanic,neutral,Man,26
assets/img_7.jpeg,asian,neutral,Man,23
assets/img_8.jpeg,middle eastern,neutral,Man,26
assets/img_9.jpeg,white,happy,Man,26
assets/img_10.jpeg,white,neutral,Woman,47
assets/img_11.jpeg,white,neutral,Man,29
assets/img_12.jpeg,latino hispanic,neutral,Woman,25
assets/img_13.jpeg,white,happy,Woman,43
assets/img_14.jpeg,white,happy,Man,23
assets/img_15.jpeg,white,happy,Man,22
assets/img_16.jpeg,asian,neutral,Man,20
assets/img_17.jpeg,white,neutral,Woman,28
assets/img_18.jpeg,white,neutral,Woman,31
assets/img_19.jpeg,white,happy,Man,51
assets/img_20.jpeg,white,happy,Woman,26
assets/img_21.jpeg,white,happy,Man,34
assets/img_22.jpeg,white,happy,Man,34
assets/img_23.jpeg,asian,happy,Man,28
assets/img_24.jpeg,white,happy,Woman,31
assets/img_25.jpeg,white,happy,Man,26
assets/img_26.jpeg,white,happy,Woman,29
assets/img_27.jpeg,white,happy,Woman,29
assets/img_28.jpeg,white,happy,Woman,35
assets/img_29.jpeg,white,happy,Man,25
assets/img_30.jpeg,white,neutral,Man,21
assets/img_31.jpeg,white,happy,Man,27
assets/img_32.jpeg,,,,
assets/img_33.jpeg,white,neutral,Woman,23
assets/img_34.jpeg,latino hispanic,happy,Man,25
assets/img_35.jpeg,asian,neutral,Man,25
assets/img_36.jpeg,white,happy,Man,23
assets/img_37.jpeg,white,happy,Woman,31
assets/img_38.jpeg,asian,neutral,Woman,25
assets/img_39.jpeg,white,happy,Man,22
assets/img_40.jpeg,white,neutral,Man,32
assets/img_41.jpeg,white,happy,Woman,26
assets/img_42.jpeg,white,happy,Woman,25
assets/img_43.jpeg,white,happy,Woman,27
assets/img_44.jpeg,middle eastern,happy,Man,27
assets/img_45.jpeg,white,neutral,Woman,32
assets/img_46.jpeg,white,happy,Man,22
assets/img_47.jpeg,white,happy,Man,46
assets/img_48.jpeg,white,happy,Woman,37
assets/img_49.jpeg,latino hispanic,happy,Woman,27
